iter	Logloss
0	0.6871920579
1	0.6808838732
2	0.6745587453
3	0.6714441752
4	0.6650051717
5	0.6595207134
6	0.6536681406
7	0.648149286
8	0.6431825327
9	0.6374008482
10	0.6322700007
11	0.6270726327
12	0.6242850357
13	0.6195543127
14	0.6147219596
15	0.6093137639
16	0.6066320485
17	0.6042562129
18	0.5998031903
19	0.5976042006
20	0.5938217724
21	0.5893728194
22	0.5846108665
23	0.5805644881
24	0.5768101381
25	0.5732384753
26	0.5693120828
27	0.5663061922
28	0.5626553484
29	0.5584064311
30	0.5553441154
31	0.5514517438
32	0.5484515898
33	0.5448617383
34	0.541680732
35	0.5384133893
36	0.5352340914
37	0.5320130549
38	0.529348657
39	0.526549713
40	0.5231740321
41	0.5204009868
42	0.517290137
43	0.5149914704
44	0.5123319707
45	0.509836165
46	0.5076327493
47	0.5042663562
48	0.5019405727
49	0.4995287874
50	0.4975940497
51	0.4946343672
52	0.4922669936
53	0.4901546231
54	0.4884592281
55	0.4862223988
56	0.4846199409
57	0.4825833857
58	0.4802718134
59	0.4779653652
60	0.4758145165
61	0.4740834524
62	0.4725104217
63	0.4713325023
64	0.4699828924
65	0.4682269962
66	0.466696379
67	0.4650170853
68	0.4638454522
69	0.462930539
70	0.4611305636
71	0.4598104925
72	0.4582007106
73	0.4567989582
74	0.4550223328
75	0.4535664722
76	0.4521600654
77	0.4506914433
78	0.4500336731
79	0.4490643409
80	0.4478326332
81	0.4463354091
82	0.445376537
83	0.4438917671
84	0.4427418284
85	0.4410973048
86	0.4405849166
87	0.439254234
88	0.4380117655
89	0.4367249154
90	0.4356496142
91	0.4339918155
92	0.432846345
93	0.432038751
94	0.4306991804
95	0.4294596157
96	0.4280611543
97	0.4268114638
98	0.4257214257
99	0.4252870107
100	0.4245536633
101	0.4230349925
102	0.4217621796
103	0.4211401453
104	0.4199630023
105	0.4192796309
106	0.4178877336
107	0.4168401811
108	0.4160365181
109	0.415132719
110	0.4140768473
111	0.4128979431
112	0.4123770822
113	0.4110853843
114	0.4103776829
115	0.409519303
116	0.4087210117
117	0.4076400786
118	0.4066543837
119	0.4055539657
120	0.4047754944
121	0.4037641194
