iter	Passed	Remaining
0	49	49433
1	51	25518
2	52	17461
3	53	13290
4	54	10890
5	56	9305
6	57	8180
7	59	7326
8	60	6664
9	61	6135
10	63	5705
11	64	5335
12	65	4986
13	67	4726
14	68	4499
15	69	4301
16	71	4117
17	72	3958
18	73	3807
19	75	3684
20	76	3570
21	77	3454
22	79	3365
23	80	3281
24	81	3174
25	82	3100
26	83	3005
27	84	2945
28	86	2887
29	87	2840
30	88	2780
31	90	2733
32	91	2668
33	92	2629
34	94	2592
35	94	2539
36	96	2506
37	97	2476
38	98	2428
39	100	2405
40	101	2378
41	103	2352
42	104	2328
43	106	2304
44	107	2281
45	108	2255
46	110	2235
47	111	2214
48	113	2193
49	114	2174
50	115	2144
51	116	2128
52	118	2111
53	119	2100
54	121	2079
55	122	2063
56	123	2050
57	125	2036
58	132	2109
59	138	2163
60	156	2402
61	158	2400
62	160	2381
63	162	2381
64	164	2362
65	166	2360
66	168	2339
67	170	2333
68	172	2325
69	173	2305
70	175	2292
71	177	2282
72	179	2277
73	181	2270
74	182	2250
75	183	2233
76	184	2215
77	186	2198
78	187	2182
79	188	2165
80	189	2150
81	190	2135
82	192	2122
83	193	2110
84	200	2154
85	201	2137
86	202	2126
87	204	2114
88	205	2103
89	206	2091
90	207	2074
91	209	2063
92	210	2051
93	211	2039
94	212	2023
95	213	2014
96	215	2003
97	216	1994
98	218	1985
99	219	1976
100	220	1966
101	222	1957
102	223	1947
103	224	1935
104	225	1922
105	226	1914
106	228	1903
107	229	1895
108	230	1887
109	231	1874
110	233	1866
111	234	1858
112	235	1851
113	237	1844
114	238	1836
115	239	1828
116	241	1821
117	242	1812
118	243	1805
119	245	1798
120	246	1792
121	248	1785
122	248	1774
123	250	1768
124	250	1756
125	252	1751
126	253	1744
127	255	1738
128	256	1732
129	257	1725
130	259	1719
131	260	1714
132	261	1705
133	262	1699
134	264	1694
135	265	1689
136	267	1683
137	268	1678
138	269	1672
139	271	1666
140	272	1661
141	274	1656
142	275	1652
143	277	1647
144	278	1641
145	279	1633
146	280	1628
147	282	1623
148	283	1619
149	284	1614
150	286	1609
151	286	1600
152	287	1593
153	289	1588
154	290	1583
155	291	1579
156	293	1575
157	294	1571
158	295	1563
159	296	1558
160	298	1554
161	299	1550
162	300	1545
163	302	1541
164	303	1537
165	305	1533
166	306	1529
167	307	1525
168	309	1521
169	310	1517
170	312	1513
171	313	1509
172	314	1505
173	315	1498
174	316	1494
175	318	1490
176	319	1486
177	321	1483
178	322	1479
179	324	1476
180	325	1471
181	326	1467
182	327	1463
